379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1433,261,-118,368,354,307,1217
379,1219,261,251,368,66,400,1224
379,1427,261,251,368,-32,338,1232
379,1382,261,7,368,-77,213,1375
379,1142,261,7,368,437,431,1349
379,1285,261,-65,368,272,431,1192
379,1448,261,-46,368,254,431,1288
281,1148,131,-119,256,-186,407,1155
386,1469,221,-167,327,329,402,1247
436,983,183,-108,270,157,441,1321
457,1195,186,62,321,4,258,1320
361,1282,163,295,318,349,340,1367
307,1264,156,-118,258,318,312,1286
398,1233,222,227,267,327,321,1276
287,1155,180,222,338,300,281,1253
279,1265,160,86,309,-32,196,1130
324,1232,154,189,340,227,158,1157
219,1382,147,209,303,252,232,1151
365,1092,-13,1,303,210,331,1132
364,1486,133,-25,281,294,179,1179
391,959,153,-145,301,65,454,1239
384,1070,188,35,297,195,318,1142
301,1034,185,120,244,268,437,1144
361,982,261,-42,346,484,393,1171
416,1077,261,-1,183,7,405,1173
269,845,261,134,238,141,349,1166
434,1047,204,-23,322,124,461,1139
254,1361,301,33,320,-9,22,1135
547,1386,29,-111,3,116,405,1199
630,1192,-113,121,325,-77,85,1143
416,948,-52,-139,-114,-107,265,1452
122,1392,180,-195,-173,-66,598,1207
531,1411,-85,-97,331,12,423,1228
629,1308,-3,147,151,394,152,1228
305,1424,-219,-22,122,218,12,1223
555,977,213,252,-15,411,176,1180
447,1364,-84,337,-30,667,430,1201
432,1458,180,16,-27,481,69,1333
837,1458,-108,-108,-17,-78,136,1333
591,1458,43,-85,455,-52,134,1154
491,1458,-42,177,-115,271,329,1154
641,1458,36,46,-163,550,8,1154
634,1206,-63,470,352,596,255,1311
781,1254,-22,-91,480,-120,-97,1235
594,1278,76,-88,693,803,341,1235
566,1173,92,-61,-24,684,338,1238
747,1431,-83,24,58,378,273,1258
754,1458,46,185,147,807,179,1154
380,1458,-19,660,-117,850,167,1154
523,1458,56,671,69,1215,93,1154
710,1458,50,829,410,1128,108,1154
823,1458,9,718,18,815,356,1154
622,1458,18,706,90,736,289,1154
629,1458,74,882,66,1002,463,1154
482,1458,-7,573,562,30,207,1154
953,1458,81,1070,731,1098,707,1154
855,1458,145,1113,1009,886,234,1154
1130,1458,122,1038,857,986,408,1154
795,1458,151,973,200,905,853,1154
991,1458,90,559,898,218,543,1154
747,1320,286,538,62,785,1140,1154
944,1356,613,381,280,80,739,1154
682,1045,133,92,1246,767,1060,1146
997,1573,284,144,1251,678,53,1215
1235,1359,235,549,1239,756,620,1134
702,1287,203,241,1050,492,105,1173
774,1491,217,303,599,266,811,1136
590,1253,90,42,1033,435,227,1157
593,953,-30,3,271,455,651,1094
824,1566,105,-94,934,581,399,1116
561,1370,120,-38,396,175,371,1133
663,975,49,-29,441,35,334,1123
646,1176,105,-74,-26,158,448,1131
454,1181,-52,-60,448,101,295,1110
676,1112,366,-95,604,-18,411,1149
319,1359,54,-127,335,8,93,1162
559,1106,195,-61,71,49,125,1108
136,1192,22,-236,457,-81,480,1089
398,978,206,-190,418,-277,230,1152
79,1064,-156,-297,-69,11,-18,1149
231,1157,40,-219,104,-94,276,1221
469,1045,-158,-101,-82,-201,28,1177
237,1296,-181,-201,86,-160,145,1369
348,1102,-195,-239,62,-129,30,1310
216,1124,-278,-175,-118,-366,-211,1145
-23,1286,-180,-222,-234,-304,0,1289
504,1056,-205,-86,-62,-13,-112,1364
264,1142,-92,-194,-246,-80,-28,1142
296,1218,-337,-280,-157,-162,50,1155
299,1188,-133,-214,-53,-221,-242,1192
39,837,-364,-266,-181,155,87,1246
78,1212,-251,-286,40,-158,-262,1296
-75,1081,-25,-403,-244,-228,298,1100
559,1100,-18,-72,-29,-26,118,1338
507,1350,33,-66,318,-57,-7,1476
217,1205,74,-50,-92,206,520,1353
492,1517,199,-217,254,80,-90,1297
268,1208,-111,-91,-264,0,332,1346
403,1402,153,-302,205,19,104,1307
324,1447,-117,-86,-32,-36,653,1476
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
379,1458,261,-21,334,354,307,1154
